Year,Fuel,Flow_type,Primary_group,Subgroup,Category,Unit,Energy,Energy_TWh
2023,Manufactured fuel,Iron and steel,Demand,Final consumption,Industry,ktoe,294.09,3.4202666999999995
2023,Manufactured fuel,Non-ferrous metals,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Manufactured fuel,Mineral products,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Manufactured fuel,Chemicals,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Manufactured fuel,Mechanical engineering etc,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Manufactured fuel,Electrical engineering etc,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Manufactured fuel,Vehicles,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Manufactured fuel,"Food, beverages etc",Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Manufactured fuel,"Textiles, leather etc",Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Manufactured fuel,"Paper, printing etc",Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Manufactured fuel,Other industries,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Manufactured fuel,Construction,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Manufactured fuel,Air,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Manufactured fuel,Rail,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Manufactured fuel,Road,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Manufactured fuel,National navigation,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Manufactured fuel,Pipelines,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Manufactured fuel,Domestic,Demand,Final consumption,Other final users,ktoe,127.42,1.4818946
2023,Manufactured fuel,Public administration,Demand,Final consumption,Other final users,ktoe,0.0,0.0
2023,Manufactured fuel,Commercial,Demand,Final consumption,Other final users,ktoe,0.0,0.0
2023,Manufactured fuel,Agriculture,Demand,Final consumption,Other final users,ktoe,0.0,0.0
2023,Manufactured fuel,Miscellaneous,Demand,Final consumption,Other final users,ktoe,0.0,0.0
2023,Manufactured fuel,Non energy use,Demand,Final consumption,,ktoe,26.08,0.3033104
2023,Natural gas,Production,Supply,,,ktoe,32924.17,382.90809709999996
2023,Natural gas,Imports,Supply,,,ktoe,42555.35,494.91872049999995
2023,Natural gas,Exports,Supply,,,ktoe,-15098.09,-175.5907867
2023,Natural gas,Marine bunkers,Supply,,,ktoe,0.0,0.0
2023,Natural gas,Stock change,Supply,,,ktoe,-577.36,-6.7146968
2023,Natural gas,Statistical difference,Statistical difference,,,ktoe,131.93,1.5343459000000002
2023,Natural gas,Transfers,Demand,,,ktoe,622.48,7.2394424
2023,Natural gas,Major power producers,Demand,Transformation,Electricity generation,ktoe,15567.47,181.0496761
2023,Natural gas,Autogenerators,Demand,Transformation,Electricity generation,ktoe,2137.67,24.8611021
2023,Natural gas,Heat generation,Demand,Transformation,,ktoe,2273.44,26.4401072
2023,Natural gas,Petroleum refineries,Demand,Transformation,,ktoe,0.0,0.0
2023,Natural gas,Coke manufacture,Demand,Transformation,,ktoe,0.0,0.0
2023,Natural gas,Blast furnaces,Demand,Transformation,,ktoe,0.0,0.0
2023,Natural gas,Patent fuel manufacture,Demand,Transformation,,ktoe,0.0,0.0
2023,Natural gas,Other,Demand,Transformation,,ktoe,0.0,0.0
2023,Natural gas,Electricity generation,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Natural gas,Oil and gas extraction,Demand,Energy industry use,,ktoe,3566.96,41.4837448
2023,Natural gas,Petroleum refineries,Demand,Energy industry use,,ktoe,225.41,2.6215183
2023,Natural gas,Coal extraction,Demand,Energy industry use,,ktoe,4.13,0.048031899999999995
2023,Natural gas,Coke manufacture,Demand,Energy industry use,,ktoe,0.69,0.0080247
2023,Natural gas,Blast furnaces,Demand,Energy industry use,,ktoe,35.09,0.40809670000000003
2023,Natural gas,Patent fuel manufacture,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Natural gas,Pumped storage,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Natural gas,Other,Demand,Energy industry use,,ktoe,430.65,5.0084595
2023,Natural gas,Losses,Demand,,,ktoe,423.15,4.9212345
2023,Natural gas,Unclassified,Demand,Final consumption,Industry,ktoe,8.55,0.09943650000000001
2023,Natural gas,Iron and steel,Demand,Final consumption,Industry,ktoe,443.28,5.1553464
2023,Natural gas,Non-ferrous metals,Demand,Final consumption,Industry,ktoe,229.85,2.6731555
2023,Natural gas,Mineral products,Demand,Final consumption,Industry,ktoe,1070.51,12.4500313
2023,Natural gas,Chemicals,Demand,Final consumption,Industry,ktoe,1249.72,14.5342436
2023,Natural gas,Mechanical engineering etc,Demand,Final consumption,Industry,ktoe,750.25,8.7254075
2023,Natural gas,Electrical engineering etc,Demand,Final consumption,Industry,ktoe,259.96,3.0233347999999998
2023,Natural gas,Vehicles,Demand,Final consumption,Industry,ktoe,385.64,4.4849932
2023,Natural gas,"Food, beverages etc",Demand,Final consumption,Industry,ktoe,1530.58,17.800645399999997
2023,Natural gas,"Textiles, leather etc",Demand,Final consumption,Industry,ktoe,245.58,2.8560954
2023,Natural gas,"Paper, printing etc",Demand,Final consumption,Industry,ktoe,242.78,2.8235314
2023,Natural gas,Other industries,Demand,Final consumption,Industry,ktoe,699.52,8.1354176
2023,Natural gas,Construction,Demand,Final consumption,Industry,ktoe,388.0,4.51244
2023,Natural gas,Air,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Natural gas,Rail,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Natural gas,Road,Demand,Final consumption,Transport,ktoe,84.09,0.9779667
2023,Natural gas,National navigation,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Natural gas,Pipelines,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Natural gas,Domestic,Demand,Final consumption,Other final users,ktoe,20386.92,237.09987959999998
2023,Natural gas,Public administration,Demand,Final consumption,Other final users,ktoe,3000.57,34.8966291
2023,Natural gas,Commercial,Demand,Final consumption,Other final users,ktoe,3705.55,43.0955465
2023,Natural gas,Agriculture,Demand,Final consumption,Other final users,ktoe,64.64,0.7517632
2023,Natural gas,Miscellaneous,Demand,Final consumption,Other final users,ktoe,883.98,10.2806874
2023,Natural gas,Non energy use,Demand,Final consumption,,ktoe,0.0,0.0
2023,Petroleum products,Production,Supply,,,ktoe,0.0,0.0
2023,Petroleum products,Imports,Supply,,,ktoe,33269.47,386.9239361
2023,Petroleum products,Exports,Supply,,,ktoe,-20679.16,-240.4986308
2023,Petroleum products,Marine bunkers,Supply,,,ktoe,-2086.38,-24.2645994
2023,Petroleum products,Stock change,Supply,,,ktoe,-29.74,-0.34587619999999997
2023,Petroleum products,Statistical difference,Statistical difference,,,ktoe,103.15,1.1996345
2023,Petroleum products,Transfers,Demand,,,ktoe,14.72,0.1711936
2023,Petroleum products,Major power producers,Demand,Transformation,Electricity generation,ktoe,69.1,0.8036329999999999
2023,Petroleum products,Autogenerators,Demand,Transformation,Electricity generation,ktoe,357.1,4.153073
2023,Petroleum products,Heat generation,Demand,Transformation,,ktoe,56.25,0.6541875
2023,Petroleum products,Petroleum refineries,Demand,Transformation,,ktoe,55235.04,642.3835152
2023,Petroleum products,Coke manufacture,Demand,Transformation,,ktoe,0.0,0.0
2023,Petroleum products,Blast furnaces,Demand,Transformation,,ktoe,0.0,0.0
2023,Petroleum products,Patent fuel manufacture,Demand,Transformation,,ktoe,46.17,0.5369571
2023,Petroleum products,Other,Demand,Transformation,,ktoe,366.19,4.2587896999999995
2023,Petroleum products,Electricity generation,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Petroleum products,Oil and gas extraction,Demand,Energy industry use,,ktoe,507.96,5.9075748
2023,Petroleum products,Petroleum refineries,Demand,Energy industry use,,ktoe,3110.27,36.172440099999996
2023,Petroleum products,Coal extraction,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Petroleum products,Coke manufacture,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Petroleum products,Blast furnaces,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Petroleum products,Patent fuel manufacture,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Petroleum products,Pumped storage,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Petroleum products,Other,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Petroleum products,Losses,Demand,,,ktoe,0.0,0.0
2023,Petroleum products,Unclassified,Demand,Final consumption,Industry,ktoe,1463.14,17.0163182
2023,Petroleum products,Iron and steel,Demand,Final consumption,Industry,ktoe,15.93,0.18526589999999998
2023,Petroleum products,Non-ferrous metals,Demand,Final consumption,Industry,ktoe,0.95,0.0110485
2023,Petroleum products,Mineral products,Demand,Final consumption,Industry,ktoe,84.34,0.9808742
