Year,Fuel,Flow_type,Primary_group,Subgroup,Category,Aggregate_type,Unit,Energy,Row
2023,Heat sold,Coke manufacture,Demand,Transformation,,value,ktoe,0.0,20
2023,Heat sold,Blast furnaces,Demand,Transformation,,value,ktoe,0.0,21
2023,Heat sold,Patent fuel manufacture,Demand,Transformation,,value,ktoe,0.0,22
2023,Heat sold,Other,Demand,Transformation,,value,ktoe,0.0,23
2023,Heat sold,Energy industry use,Demand,Energy industry use,,sum,ktoe,336.42,24
2023,Heat sold,Electricity generation,Demand,Energy industry use,,value,ktoe,0.0,25
2023,Heat sold,Oil and gas extraction,Demand,Energy industry use,,value,ktoe,0.0,26
2023,Heat sold,Petroleum refineries,Demand,Energy industry use,,value,ktoe,336.42,27
2023,Heat sold,Coal extraction,Demand,Energy industry use,,value,ktoe,0.0,28
2023,Heat sold,Coke manufacture,Demand,Energy industry use,,value,ktoe,0.0,29
2023,Heat sold,Blast furnaces,Demand,Energy industry use,,value,ktoe,0.0,30
2023,Heat sold,Patent fuel manufacture,Demand,Energy industry use,,value,ktoe,0.0,31
2023,Heat sold,Pumped storage,Demand,Energy industry use,,value,ktoe,0.0,32
2023,Heat sold,Other,Demand,Energy industry use,,value,ktoe,0.0,33
2023,Heat sold,Losses,Demand,,,value,ktoe,0.0,34
2023,Heat sold,Final consumption,Demand,Final consumption,,sum,ktoe,1186.95,35
2023,Heat sold,Industry,Demand,Final consumption,Industry,sum,ktoe,586.35,36
2023,Heat sold,Unclassified,Demand,Final consumption,Industry,value,ktoe,0.0,37
2023,Heat sold,Iron and steel,Demand,Final consumption,Industry,value,ktoe,0.0,38
2023,Heat sold,Non-ferrous metals,Demand,Final consumption,Industry,value,ktoe,0.0,39
2023,Heat sold,Mineral products,Demand,Final consumption,Industry,value,ktoe,0.0,40
2023,Heat sold,Chemicals,Demand,Final consumption,Industry,value,ktoe,123.61,41
2023,Heat sold,Mechanical engineering etc,Demand,Final consumption,Industry,value,ktoe,0.0,42
2023,Heat sold,Electrical engineering etc,Demand,Final consumption,Industry,value,ktoe,0.0,43
2023,Heat sold,Vehicles,Demand,Final consumption,Industry,value,ktoe,0.0,44
2023,Heat sold,"Food, beverages etc",Demand,Final consumption,Industry,value,ktoe,16.69,45
2023,Heat sold,"Textiles, leather etc",Demand,Final consumption,Industry,value,ktoe,0.0,46
2023,Heat sold,"Paper, printing etc",Demand,Final consumption,Industry,value,ktoe,28.1,47
2023,Heat sold,Other industries,Demand,Final consumption,Industry,value,ktoe,417.84,48
2023,Heat sold,Construction,Demand,Final consumption,Industry,value,ktoe,0.11,49
2023,Heat sold,Transport,Demand,Final consumption,Transport,sum,ktoe,0.0,50
2023,Heat sold,Air,Demand,Final consumption,Transport,value,ktoe,0.0,51
